Name,Description,URL,Created At,Updated At,Homepage,Size,Stars,Forks,Issues,Watchers,Language,License,Topics,Has Issues,Has Projects,Has Downloads,Has Wiki,Has Pages,Has Discussions,Is Fork,Is Archived,Is Template,Default Branch
MockingBird,🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/babysor/MockingBird,2021-08-07T03:53:39Z,2023-09-21T09:53:02Z,,130787,30937,4731,446,30937,Python,NOASSERTION,"['ai', 'deep-learning', 'pytorch', 'speech', 'text-to-speech', 'tts']",True,True,True,True,False,True,False,False,False,main
react-beautiful-dnd,Beautiful and accessible drag and drop for lists with React,https://github.com/atlassian/react-beautiful-dnd,2017-08-09T03:37:15Z,2023-09-21T08:52:01Z,https://react-beautiful-dnd.netlify.com,14791,30930,2466,593,30930,JavaScript,NOASSERTION,"['dnd', 'drag', 'drag-and-drop', 'react', 'reordering', 'sortable']",True,True,True,False,False,False,False,False,False,master
google-research,Google Research,https://github.com/google-research/google-research,2018-10-04T18:42:48Z,2023-09-21T09:15:39Z,https://research.google,610804,30907,7572,1131,30907,Jupyter Notebook,Apache-2.0,"['ai', 'machine-learning', 'research']",True,False,True,False,True,False,False,False,False,master
googletest,GoogleTest - Google Testing and Mocking Framework,https://github.com/google/googletest,2015-07-28T15:07:53Z,2023-09-21T07:32:36Z,https://google.github.io/googletest/,12933,30857,9827,309,30857,C++,BSD-3-Clause,[],True,False,False,False,True,True,False,False,False,main
insomnia,"The open-source, cross-platform API client for GraphQL, REST, WebSockets and gRPC.",https://github.com/Kong/insomnia,2016-04-23T03:54:26Z,2023-09-21T11:03:12Z,https://insomnia.rest,120868,30838,1620,611,30838,JavaScript,MIT,"['api', 'api-client', 'api-design', 'curl', 'electron-app', 'graphql', 'grpc', 'http-client', 'rest-api', 'websockets']",True,False,True,True,False,True,False,False,False,develop
ClickHouse,ClickHouse® is a free analytics DBMS for big data,https://github.com/ClickHouse/ClickHouse,2016-06-02T08:28:18Z,2023-09-21T11:10:31Z,https://clickhouse.com,1133980,30814,6101,3523,30814,C++,Apache-2.0,"['analytics', 'big-data', 'clickhouse', 'dbms', 'distributed-database', 'hacktoberfest', 'mpp', 'olap', 'sql']",True,True,True,True,False,True,False,False,False,master
yuzu,Nintendo Switch emulator,https://github.com/yuzu-emu/yuzu,2018-01-03T18:13:57Z,2023-09-21T05:23:31Z,https://yuzu-emu.org/,91507,30729,2650,1373,30729,C++,GPL-3.0,"['c-plus-plus', 'cpp', 'emulation', 'emulator', 'switch']",True,True,True,True,False,False,False,False,False,master
50projects50days,"50+ mini web projects using HTML, CSS & JS",https://github.com/bradtraversy/50projects50days,2020-11-16T14:39:01Z,2023-09-21T11:16:55Z,,498,30720,8108,64,30720,CSS,MIT,[],False,True,True,True,False,False,False,False,False,master
odoo,Odoo. Open Source Apps To Grow Your Business.,https://github.com/odoo/odoo,2014-05-13T15:38:58Z,2023-09-21T11:29:21Z,https://www.odoo.com,6951340,30701,19984,5990,30701,JavaScript,NOASSERTION,"['apps', 'business', 'erp', 'management', 'odoo', 'odoo-apps', 'python']",True,False,True,True,False,False,False,False,False,16.0
awesome-awesomeness,A curated list of awesome awesomeness,https://github.com/bayandin/awesome-awesomeness,2014-07-08T05:44:19Z,2023-09-21T07:43:11Z,,381,30584,3546,30,30584,Ruby,,[],True,True,True,False,False,False,False,False,False,master
LeetCode-Go,"✅ Solutions to LeetCode by Go, 100% test coverage, runtime beats 100% / LeetCode 题解",https://github.com/halfrost/LeetCode-Go,2017-07-18T00:06:14Z,2023-09-21T08:47:16Z,https://books.halfrost.com/leetcode,19269,30573,5532,16,30573,Go,MIT,"['acm-icpc', 'algo', 'algorithm', 'algorithm-competitions', 'algorithms', 'algorithms-and-data-structures', 'dynamic-programming', 'facebook', 'go', 'golang', 'interview-questions', 'leetcode', 'leetcode-go', 'leetcode-golang', 'leetcode-solutions', 'math', 'pattern']",True,True,True,True,False,True,False,False,False,master
compose,Define and run multi-container applications with Docker,https://github.com/docker/compose,2013-12-09T11:40:58Z,2023-09-21T10:54:50Z,https://docs.docker.com/compose/,24887,30520,5021,198,30520,Go,Apache-2.0,"['docker', 'docker-compose', 'go', 'golang', 'orchestration']",True,False,True,False,False,True,False,False,False,main
marked,A markdown parser and compiler. Built for speed.,https://github.com/markedjs/marked,2011-07-24T13:15:51Z,2023-09-21T09:03:24Z,https://marked.js.org,9013,30486,3352,19,30486,TypeScript,NOASSERTION,"['commonmark', 'compiler', 'gfm', 'hacktoberfest', 'markdown', 'parser']",True,True,True,False,False,True,False,False,False,master
nvm-windows,A node.js version management utility for Windows. Ironically written in Go.,https://github.com/coreybutler/nvm-windows,2014-09-20T16:37:28Z,2023-09-21T11:13:03Z,,33161,30482,2988,79,30482,Go,MIT,"['go', 'management', 'node', 'node-version-manager', 'nodejs', 'nvm', 'switch', 'version', 'version-manager', 'versioning', 'windows']",True,True,True,True,True,True,False,False,False,master
spring-boot-demo,🚀一个用来深入学习并实战 Spring Boot 的项目。,https://github.com/xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,2023-09-21T09:28:07Z,https://parg.co/UZM,14194,30482,10448,122,30482,Java,MIT,"['demo', 'in-action', 'java', 'spring', 'spring-boot', 'spring-boot-2', 'spring-boot-demo', 'web', 'xkcoding']",True,True,True,True,False,True,False,False,False,master
lazydocker,The lazier way to manage everything docker,https://github.com/jesseduffield/lazydocker,2019-05-18T08:53:50Z,2023-09-21T11:14:16Z,,26354,30477,1053,113,30477,Go,MIT,[],True,True,True,False,False,True,False,False,False,master
interview,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation, etc.",https://github.com/huihut/interview,2018-02-09T09:49:48Z,2023-09-21T11:31:18Z,https://interview.huihut.com,5367,30440,7592,16,30440,C++,NOASSERTION,"['algorithm', 'c', 'cpp', 'data-structures', 'database', 'interview', 'interview-practice', 'interview-preparation', 'interview-questions', 'interviews', 'leetcode', 'operating-system', 'stl']",True,True,True,True,True,False,False,False,False,master
tmux,tmux source code,https://github.com/tmux/tmux,2015-06-03T23:32:55Z,2023-09-21T11:13:53Z,,17336,30391,1964,24,30391,C,NOASSERTION,[],True,False,True,True,False,True,False,False,False,master
alist,"🗂️A file list/WebDAV program that supports multiple storages, powered by Gin and Solidjs. / 一个支持多存储的文件列表/WebDAV程序，使用 Gin 和 Solidjs。",https://github.com/alist-org/alist,2020-12-23T17:40:29Z,2023-09-21T11:29:07Z,https://alist.nn.ci,3405,30315,4222,80,30315,Go,AGPL-3.0,"['file-server', 'gin', 'golang', 'onedrive', 'solidjs', 'webdav']",True,True,True,True,False,True,False,False,False,main
HanLP,中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理,https://github.com/hankcs/HanLP,2014-10-09T06:36:16Z,2023-09-21T11:24:05Z,https://hanlp.hankcs.com/,72752,30284,8728,10,30284,Python,Apache-2.0,"['dependency-parser', 'hanlp', 'named-entity-recognition', 'natural-language-processing', 'nlp', 'pos-tagging', 'semantic-parsing', 'text-classification']",True,True,True,True,False,False,False,False,False,doc-zh
husky,Git hooks made easy 🐶 woof!,https://github.com/typicode/husky,2014-06-23T12:14:21Z,2023-09-21T09:25:23Z,https://typicode.github.io/husky,3608,30262,1043,40,30262,JavaScript,MIT,"['commit', 'git', 'hooks', 'pre-commit']",True,False,True,False,True,True,False,False,False,main
framework,The Laravel Framework.,https://github.com/laravel/framework,2013-01-10T21:27:28Z,2023-09-21T08:39:06Z,https://laravel.com,76001,30237,10299,29,30237,PHP,MIT,"['framework', 'laravel', 'php']",True,False,True,False,False,True,False,False,False,10.x
certbot,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.,https://github.com/certbot/certbot,2014-11-12T02:52:20Z,2023-09-21T09:33:56Z,,49397,30235,3390,264,30235,Python,NOASSERTION,"['acme', 'acme-client', 'certbot', 'certificate', 'letsencrypt', 'python']",True,True,True,True,False,False,False,False,False,master
beego,"beego is an open-source, high-performance web framework for the Go programming language.",https://github.com/beego/beego,2012-02-29T02:32:08Z,2023-09-21T10:05:29Z,https://beego.gocn.vip,11527,30214,5646,56,30214,Go,NOASSERTION,"['beego', 'go']",True,True,True,True,False,True,False,False,False,develop
hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程，支持 Java, C++, Python, Go, JS, TS, C#, Swift, Rust, Dart, Zig 等语言。",https://github.com/krahets/hello-algo,2022-11-04T11:08:34Z,2023-09-21T11:45:14Z,https://hello-algo.com,155525,30162,3250,17,30162,Java,NOASSERTION,"['algo', 'algorithm', 'algorithms', 'data-structure', 'data-structures', 'data-structures-and-algorithms', 'dsa', 'leetcode', 'mkdocs-material']",True,True,True,False,True,True,False,False,False,main
graphql-engine,"Blazing fast, instant realtime GraphQL APIs on your DB with fine grained access control, also trigger webhooks on database events.",https://github.com/hasura/graphql-engine,2018-06-18T07:57:36Z,2023-09-21T08:37:28Z,https://hasura.io,4871706,30127,2708,2124,30127,TypeScript,Apache-2.0,"['access-control', 'api', 'automatic-api', 'bigquery', 'graphql', 'graphql-api', 'graphql-server', 'haskell', 'hasura', 'mysql', 'postgres', 'rest-api', 'sql-server']",True,True,True,True,True,True,False,False,False,master
stablediffusion,High-Resolution Image Synthesis with Latent Diffusion Models,https://github.com/Stability-AI/stablediffusion,2022-11-23T23:59:50Z,2023-09-21T11:34:06Z,,75263,30111,3935,227,30111,Python,MIT,[],True,True,True,True,False,False,False,False,False,main
